timestamp,user_id,scenario,method,endpoint,status_code,latency_ms,success,error
2026-03-02T10:46:00.250622+00:00,10,browse_homepage,GET,/,200,4.39,True,
2026-03-02T10:46:00.536965+00:00,4,add_to_cart,POST,/cart,201,24.52,True,
2026-03-02T10:46:00.605150+00:00,5,browse_catalogue,GET,/catalogue,200,8.7,True,
2026-03-02T10:46:00.924708+00:00,1,browse_homepage,GET,/,200,4.63,True,
2026-03-02T10:46:01.081194+00:00,7,place_order,POST,/orders,201,42.59,True,
2026-03-02T10:46:01.139270+00:00,2,view_item,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,200,50.6,True,
2026-03-02T10:46:01.235343+00:00,8,login,GET,/login,200,66.95,True,
2026-03-02T10:46:01.393004+00:00,5,catalogue_size,GET,/catalogue/size,200,12.32,True,
2026-03-02T10:46:01.466832+00:00,3,get_address,GET,/address,200,53.76,True,
2026-03-02T10:46:01.998247+00:00,9,view_item,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,200,11.81,True,
2026-03-02T10:46:02.111835+00:00,5,get_tags,GET,/tags,200,10.24,True,
2026-03-02T10:46:02.499322+00:00,10,basket_page,GET,/cart,200,11.61,True,
2026-03-02T10:46:02.739311+00:00,7,browse_catalogue,GET,/catalogue,200,8.31,True,
2026-03-02T10:46:02.759294+00:00,2,browse_homepage,GET,/,200,4.99,True,
2026-03-02T10:46:02.834975+00:00,6,detail_page,GET,/catalogue/03fef6ac-1896-4ce8-bd69-b798f85c6e0b,200,48.62,True,
2026-03-02T10:46:03.184131+00:00,8,detail_page,GET,/catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e,200,10.49,True,
2026-03-02T10:46:03.299484+00:00,7,catalogue_size,GET,/catalogue/size,200,10.82,True,
2026-03-02T10:46:03.394813+00:00,1,get_card,GET,/card,200,11.4,True,
2026-03-02T10:46:03.841976+00:00,4,add_to_cart,POST,/cart,201,28.09,True,
2026-03-02T10:46:03.971038+00:00,9,update_cart_item,GET,/cart,200,11.72,True,
2026-03-02T10:46:04.076915+00:00,2,get_card,GET,/card,200,11.59,True,
2026-03-02T10:46:04.505040+00:00,5,detail_page,GET,/catalogue/03fef6ac-1896-4ce8-bd69-b798f85c6e0b,200,9.26,True,
2026-03-02T10:46:04.578912+00:00,7,get_tags,GET,/tags,200,11.16,True,
2026-03-02T10:46:04.807603+00:00,3,get_address,GET,/address,200,11.89,True,
2026-03-02T10:46:05.160947+00:00,10,checkout_view_item,GET,/catalogue/819e1fbf-8b7e-4f6d-811f-693534916a8b,200,10.69,True,
2026-03-02T10:46:05.335815+00:00,8,browse_homepage,GET,/,200,5.98,True,
2026-03-02T10:46:05.632251+00:00,6,view_item,GET,/catalogue/819e1fbf-8b7e-4f6d-811f-693534916a8b,200,12.18,True,
2026-03-02T10:46:06.048173+00:00,10,checkout_add_to_cart,POST,/cart,201,28.46,True,
2026-03-02T10:46:06.125682+00:00,7,browse_catalogue,GET,/catalogue,200,11.07,True,
2026-03-02T10:46:06.274580+00:00,4,delete_cart_item,GET,/cart,200,11.2,True,
2026-03-02T10:46:06.409062+00:00,1,browse_catalogue,GET,/catalogue,200,7.79,True,
2026-03-02T10:46:06.558926+00:00,9,login,GET,/login,200,18.53,True,
2026-03-02T10:46:06.905646+00:00,7,catalogue_size,GET,/catalogue/size,200,8.05,True,
2026-03-02T10:46:07.022054+00:00,3,browse_catalogue,GET,/catalogue,200,9.28,True,
2026-03-02T10:46:07.077245+00:00,2,login,GET,/login,200,57.57,True,
2026-03-02T10:46:07.230011+00:00,9,browse_catalogue,GET,/catalogue,200,8.01,True,
2026-03-02T10:46:07.489353+00:00,7,get_tags,GET,/tags,200,10.69,True,
2026-03-02T10:46:07.573841+00:00,3,catalogue_size,GET,/catalogue/size,200,12.21,True,
2026-03-02T10:46:07.671505+00:00,1,catalogue_size,GET,/catalogue/size,200,10.4,True,
